KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,DATA_PROVIDER,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,EMBARGO_TIME,COMMENT_OBS,PRE_BREAK_VALUE,CONF_STATUS,OBS_STATUS,TRANSFORMATION,COMMENT_TS,TIME_PER_COLLECT,ADJU_DETAIL,UPDATE_STATUS,TIME_FORMAT,BREAKS,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,UNIT_INDEX_BASE,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,COMMENT_DSET
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-01,0.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-02,-0.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-03,0.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-04,-0.3,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-05,-0.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-06,0.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-07,0.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-08,0.3,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-09,0.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-10,0.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-11,0.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2016-12,1.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-01,1.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-02,2.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-03,1.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-04,2.0,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-05,1.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-06,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-07,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-08,1.9,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-09,1.9,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-10,1.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-11,1.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-12,1.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-01,1.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-02,1.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-03,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-04,1.3,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-05,2.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-06,2.0,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-07,2.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-08,2.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-09,2.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-10,2.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-11,2.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-12,1.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-01,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-02,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-03,1.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-04,2.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-05,1.3,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-06,1.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-07,1.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-08,1.0,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-09,0.9,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-10,0.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-11,1.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2019-12,1.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-01,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-02,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-03,1.3,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-04,0.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-05,0.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-06,0.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-07,0.0,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-08,-0.1,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-09,-0.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-10,-0.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-11,-0.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2020-12,-0.6,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
